datetime,closing_price
2021-03-21T00:00:00,57042.74
2021-03-20T00:00:00,58116.7
2021-03-19T00:00:00,58039.66
2021-03-18T00:00:00,57644.95
2021-03-17T00:00:00,58925.54
2021-03-16T00:00:00,56927.11
2021-03-15T00:00:00,55636.15
2021-03-14T00:00:00,58972.7
2021-03-13T00:00:00,61178.5
2021-03-12T00:00:00,57225.91
2021-03-11T00:00:00,57815.47
2021-03-10T00:00:00,55890.69
2021-03-09T00:00:00,54916.38
2021-03-08T00:00:00,52415.23
2021-03-07T00:00:00,50978.61
2021-03-06T00:00:00,48909.84
2021-03-05T00:00:00,48769.47
2021-03-04T00:00:00,48368.52
2021-03-03T00:00:00,50360
2021-03-02T00:00:00,48511.6
2021-03-01T00:00:00,49639.4
2021-02-28T00:00:00,45231.75
2021-02-27T00:00:00,46180.75
2021-02-26T00:00:00,46326.2
2021-02-25T00:00:00,47058.48
2021-02-24T00:00:00,49737.82
2021-02-23T00:00:00,48899.99
2021-02-22T00:00:00,54142.13
2021-02-21T00:00:00,57489.16
2021-02-20T00:00:00,55923.52
2021-02-19T00:00:00,55983.56
2021-02-18T00:00:00,51601.73
2021-02-17T00:00:00,52170.01
2021-02-16T00:00:00,49158.71
2021-02-15T00:00:00,47936.37
2021-02-14T00:00:00,48680.69
2021-02-13T00:00:00,47232.45
2021-02-12T00:00:00,47408.34
2021-02-11T00:00:00,47997.91
2021-02-10T00:00:00,44850
2021-02-09T00:00:00,46514.73
2021-02-08T00:00:00,46448.1
2021-02-07T00:00:00,38871.42
2021-02-06T00:00:00,39265.43
2021-02-05T00:00:00,38311.49
2021-02-04T00:00:00,36975
2021-02-03T00:00:00,37678.37
2021-02-02T00:00:00,35512.67
2021-02-01T00:00:00,33533.19
2021-01-31T00:00:00,33137.74
2021-01-30T00:00:00,34315.63
2021-01-29T00:00:00,34262.11
2021-01-28T00:00:00,33488.99
2021-01-27T00:00:00,30407.13
2021-01-26T00:00:00,32510.82
2021-01-25T00:00:00,32261.87
2021-01-24T00:00:00,32288.56
2021-01-23T00:00:00,32112.01
2021-01-22T00:00:00,32984.93
2021-01-21T00:00:00,30855.95
2021-01-20T00:00:00,35503.09
2021-01-19T00:00:00,35917.28
2021-01-18T00:00:00,36624.23
2021-01-17T00:00:00,35820
2021-01-16T00:00:00,36006.94
2021-01-15T00:00:00,36754.67
2021-01-14T00:00:00,39125.14
2021-01-13T00:00:00,37393.66
2021-01-12T00:00:00,34038.98
2021-01-11T00:00:00,35452.59
2021-01-10T00:00:00,38171.57
